item,telas,técnica,dimensão,ano,valor (r$),valor_pix,parcelamento,categoria,link_mp_pix
25,BLACK SHOES/ COM MOLDURA,NANQUIM SOBRE PAPEL,43 X 36,1988,600.0,570.0,5% À VISTA/ 2 VEZES,AEROGRAFIAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-bb8793bc-498b-4eca-80d5-7e9697dc46f6
26,OLDS,NANQUIM SOBRE PAPEL,20 x 27,1988,300.0,285.0,5% À VISTA/ 2 VEZES,AEROGRAFIAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-aa3900dc-09e0-4122-b519-e79c4f3ca458
27,PROTÓTIPO FUSCA/ COM MOLDURA,NANQUIM SOBRE PAPEL,36 X 43,1988,600.0,570.0,5% À VISTA/ 2 VEZES,AEROGRAFIAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-95b9a4e2-1224-4e5a-ab05-8eddf9dc6987
28,TORSO/ COM MOLDURA,NANQUIM SOBRE PAPEL,43 X 36,1988,600.0,570.0,5% À VISTA/ 2 VEZES,AEROGRAFIAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-739e3151-84eb-4a9b-909d-5e00d32a78d4
29,ATLETA,NANQUIM SOBRE PAPEL,"20,5 X 25",1988,350.0,332.5,5% À VISTA/ 2 VEZES,AEROGRAFIAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-967a6064-16ba-4b83-a454-dcc0ef9ef59b
30,CARTÃO POSTAL,NANQUIM SOBRE PAPEL,"20,5 X 25",1988,350.0,332.5,5% À VISTA/ 2 VEZES,AEROGRAFIAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-df9591d7-4cea-44c1-90aa-884e9c146d57
31,STRESS URBANO,LÁPIS E CANETA S/PAPEL,"21 X 29,7",2014,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-fcbf6015-8cb0-41d1-9565-629f7221a700
32,STREET DANCE 2,GRAFITE SOBRE PAPEL,"29,7 x 42",2014,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-722f3225-a025-4754-9aaa-7f5a6ea89ae4
33,SEM GÁS,GRAFITE SOBRE PAPEL,"29,7 x 42",2014,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-1db5281f-561f-4d4f-b858-24e1a3ef942a
34,MERGULHO 1,CANETA SOBRE PAPEL,"21 X 29,7",1984,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-7bae7af4-332c-4a12-b654-7fc3c8d9c8fc
35,MERGULHO 2,TINTA LÍQUIDA SOBRE PAPEL,"29,7 x 42",2025,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-2754f0b1-2a6c-4f1a-b60f-000a1d6cdc18
36,MERGULHO 3,TINTA LÍQUIDA SOBRE PAPEL,"21 X 29,7",2021,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-fb8d872e-be21-4989-a8fa-965d6aaa47bb
37,MERGULHO 4,TINTA LÍQUIDA SOBRE PAPEL,"21 X 29,7",2021,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-554f821d-3fdd-49a5-992d-49425185625c
38,MERGULHO 5,TINTA LÍQUIDA SOBRE PAPEL,"21 X 29,7",2025,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-d61da141-12ef-4d3a-8643-a6015244569a
39,MERGULHO 6,TINTA LÍQUIDA SOBRE PAPEL," 29,7 X 21",2025,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-949fb995-f93d-470e-9de4-92711c9b00fc
40,MERGULHO 7,TINTA LÍQUIDA SOBRE PAPEL,"29,7 x 42",2021,350.0,332.5,5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-85f9a95f-4609-4322-b10f-dd4f360e52a1
41,BIKE 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,237.5,5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-d1c12140-15fd-4d7a-9927-aea1794132bf
42,CAPOEIRA 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,237.5,5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-7cffcbc4-1acc-420d-aee8-a8c609d7e66d
43,CAPOEIRA 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,237.5,5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-f13da453-0cb9-4131-b3ce-3aceb0feade6
44,DANÇA 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,237.5,5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-43c084ef-2c35-4a8d-8513-aa3287e09d7a
45,DANÇA 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,237.5,5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-ea9b304a-ecc1-4777-96ea-5513ec017272
46,DANÇA 3,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,237.5,5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-f2c590bc-7956-418d-8396-8d9fb44e9a6d
47,MÚSICO 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,237.5,5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-e7d45ee9-a7f0-445b-8669-40def5756cad
48,MÚSICO 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,237.5,5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-0cd53a5e-21da-4baa-bd3d-3fc9dac33e26
49,4 CADEIRAS,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,250.0,237.5,5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-8fe90e0f-3fc3-4cda-9003-b244ccd37475
50,KOMBI 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-64d27a6d-9693-42ca-9876-8ecabacd54f5
