item,telas,técnica,dimensão,ano,valor (r$),valor_pix,parcelamento,categoria,imagem_nome,fotos,status,qr link,qr_export_file,link_pix,link_mp,data_hora,tipo_transacao
17,MAN 2 (CINZA),NANQUIM SOBRE PAPEL,21 X 30,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 17-MAN 2.jpg,REF 17-MAN 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_17/index.html,qr_18.png,link_pix,link_mp,data_hora_venda,tipo_transacao
18,MAN 3,NANQUIM SOBRE PAPEL,"11,5 X 25",1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 18 - MAN 3.jpg,REF 18 - MAN 3.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_18/index.html,qr_19.png,link_pix,link_mp,data_hora_venda,tipo_transacao
19,U2,NANQUIM SOBRE PAPEL,29 X 21,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 19-U2.jpg,REF 19-U2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_19/index.html,qr_20.png,link_pix,link_mp,data_hora_venda,tipo_transacao
20,PAUL SIMONON,NANQUIM SOBRE PAPEL,19 X 24,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 20-PAUL SIMONON.jpg,REF 20-PAUL SIMONON.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_20/index.html,qr_21.png,link_pix,link_mp,data_hora_venda,tipo_transacao
21,VOLLEY,NANQUIM SOBRE PAPEL,21 X 21,1988,"  400,00 ","  380,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 21-VOLLEY.jpg,REF 21-VOLLEY.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_21/index.html,qr_22.png,link_pix,link_mp,data_hora_venda,tipo_transacao
22,SKATE 1,NANQUIM SOBRE PAPEL,"15 X 28,5",1988,"  300,00 ","  285,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 22-SKATE 1.jpg,REF 22-SKATE 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_22/index.html,qr_23.png,link_pix,link_mp,data_hora_venda,tipo_transacao
23,SKATE 2,NANQUIM SOBRE PAPEL,16 X 25,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 23 - SKATE 2.jpg,REF 23 - SKATE 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_23/index.html,qr_24.png,link_pix,link_mp,data_hora_venda,tipo_transacao
24,PERFIL,NANQUIM SOBRE PAPEL,"15 X 24,5",1988,"  400,00 ","  380,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 24 - PERFIL.jpg,REF 24 - PERFIL.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_24/index.html,qr_25.png,link_pix,link_mp,data_hora_venda,tipo_transacao
25,BLACK SHOES/ COM MOLDURA,NANQUIM SOBRE PAPEL,43 X 36,1988,"  600,00 ","  570,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 25 - BLACK SHOES.jpg,REF 25 - BLACK SHOES.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_25/index.html,qr_26.png,link_pix,link_mp,data_hora_venda,tipo_transacao
26,OLDS,NANQUIM SOBRE PAPEL,20 x 27,1988,"  300,00 ","  285,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 26-OLDS.jpg,REF 26-OLDS.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_26/index.html,qr_27.png,link_pix,link_mp,data_hora_venda,tipo_transacao
27,PROTÓTIPO FUSCA/ COM MOLDURA,NANQUIM SOBRE PAPEL,36 X 43,1988,"  600,00 ","  570,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 27-PROTÓTIPO FUSCA.jpg,REF 27-PROTÓTIPO FUSCA.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_27/index.html,qr_28.png,link_pix,link_mp,data_hora_venda,tipo_transacao
28,TORSO/ COM MOLDURA,NANQUIM SOBRE PAPEL,43 X 36,1988,"  600,00 ","  570,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 28 - TORSO.jpg,REF 28 - TORSO.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_28/index.html,qr_29.png,link_pix,link_mp,data_hora_venda,tipo_transacao
29,ATLETA,NANQUIM SOBRE PAPEL,"20,5 X 25",1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 29-ATLETA.jpg,REF 29-ATLETA.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_29/index.html,qr_30.png,link_pix,link_mp,data_hora_venda,tipo_transacao
30,CARTÃO POSTAL,NANQUIM SOBRE PAPEL,"20,5 X 25",1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 30 - CARTÃO POSTAL.png,REF 30 - CARTÃO POSTAL.png,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_30/index.html,qr_31.png,link_pix,link_mp,data_hora_venda,tipo_transacao
31,STRESS URBANO,LÁPIS E CANETA S/PAPEL,"21 X 29,7",2014,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 31 - STRESS URBANO .jpg,REF 31 - STRESS URBANO .jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_31/index.html,qr_32.png,link_pix,link_mp,data_hora_venda,tipo_transacao
32,STREET DANCE 2,GRAFITE SOBRE PAPEL,"29,7 x 42",2014,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 32-STREET DANCE 2.jpg,REF 32-STREET DANCE 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_32/index.html,qr_33.png,link_pix,link_mp,data_hora_venda,tipo_transacao
33,SEM GÁS,GRAFITE SOBRE PAPEL,"29,7 x 42",2014,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 33 - SEM GÁS.jpg,REF 33 - SEM GÁS.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_33/index.html,qr_34.png,link_pix,link_mp,data_hora_venda,tipo_transacao
34,MERGULHO 1,CANETA SOBRE PAPEL,"21 X 29,7",1984,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 34 - MERGULHO 1.jpg,REF 34 - MERGULHO 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_34/index.html,qr_35.png,link_pix,link_mp,data_hora_venda,tipo_transacao
35,MERGULHO 2,TINTA LÍQUIDA SOBRE PAPEL,"29,7 x 42",2025,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 35-MERGULHO 2.jpg,REF 35-MERGULHO 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_35/index.html,qr_36.png,link_pix,link_mp,data_hora_venda,tipo_transacao
36,MERGULHO 3,TINTA LÍQUIDA SOBRE PAPEL,"21 X 29,7",2021,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 36 – MERGULHO 3.jpg,REF 36 – MERGULHO 3.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_36/index.html,qr_37.png,link_pix,link_mp,data_hora_venda,tipo_transacao
37,MERGULHO 4,TINTA LÍQUIDA SOBRE PAPEL,"21 X 29,7",2021,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 37 – MERGULHO 4 .jpg,REF 37 – MERGULHO 4 .jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_37/index.html,qr_38.png,link_pix,link_mp,data_hora_venda,tipo_transacao
38,MERGULHO 5,TINTA LÍQUIDA SOBRE PAPEL,"21 X 29,7",2025,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 38 - MERGULHO 5.jpg,REF 38 - MERGULHO 5.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_38/index.html,qr_39.png,link_pix,link_mp,data_hora_venda,tipo_transacao
39,MERGULHO 6,TINTA LÍQUIDA SOBRE PAPEL," 29,7 X 21",2025,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 39 - MERGULHO 6.jpeg,REF 39 - MERGULHO 6.jpeg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_39/index.html,qr_40.png,link_pix,link_mp,data_hora_venda,tipo_transacao
40,MERGULHO 7,TINTA LÍQUIDA SOBRE PAPEL,"29,7 x 42",2021,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS,REF 40 - MERGULHO 7.jpg,REF 40 - MERGULHO 7.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_40/index.html,qr_41.png,link_pix,link_mp,data_hora_venda,tipo_transacao
41,BIKE 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,REF 41 - BIKE 1.jpg,REF 41 - BIKE 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_41/index.html,qr_42.png,link_pix,link_mp,data_hora_venda,tipo_transacao
42,CAPOEIRA 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,REF 42 - CAPOEIRISTA 1.jpg,REF 42 - CAPOEIRISTA 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_42/index.html,qr_43.png,link_pix,link_mp,data_hora_venda,tipo_transacao
43,CAPOEIRA 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,REF 43 - CAPOEIRISTA 2.jpg,REF 43 - CAPOEIRISTA 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_43/index.html,qr_44.png,link_pix,link_mp,data_hora_venda,tipo_transacao
44,DANÇA 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,REF 44 - DANÇA 1.jpg,REF 44 - DANÇA 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_44/index.html,qr_45.png,link_pix,link_mp,data_hora_venda,tipo_transacao
45,DANÇA 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,REF 45 - DANÇA 2 .jpg,REF 45 - DANÇA 2 .jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_45/index.html,qr_46.png,link_pix,link_mp,data_hora_venda,tipo_transacao
46,DANÇA 3,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,REF 46 - DANÇA 3.jpg,REF 46 - DANÇA 3.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_46/index.html,qr_47.png,link_pix,link_mp,data_hora_venda,tipo_transacao
47,MÚSICO 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,REF 47 MÚSICO 1.jpg,REF 47 MÚSICO 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_47/index.html,qr_48.png,link_pix,link_mp,data_hora_venda,tipo_transacao
48,MÚSICO 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,REF 48 - MÚSICO 2.jpg,REF 48 - MÚSICO 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_48/index.html,qr_49.png,link_pix,link_mp,data_hora_venda,tipo_transacao
49,4 CADEIRAS,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE,REF 49 -CADEIRAS 1.2.3.4.jpg,REF 49 -CADEIRAS 1.2.3.4.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_49/index.html,qr_50.png,link_pix,link_mp,data_hora_venda,tipo_transacao
50,KOMBI 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 50 - CAMISA KOMBI 1.jpg,REF 50 - CAMISA KOMBI 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_50/index.html,qr_51.png,link_pix,link_mp,data_hora_venda,tipo_transacao
51,KOMBI 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 51 - CAMISA KOMBI 2.jpg,REF 51 - CAMISA KOMBI 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_51/index.html,qr_52.png,link_pix,link_mp,data_hora_venda,tipo_transacao
52,PORTAS JANELAS 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 52 - CAMISA P&J 1.jpg,REF 52 - CAMISA P&J 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_52/index.html,qr_53.png,link_pix,link_mp,data_hora_venda,tipo_transacao
53,GRADIL SÉC. XIX,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 53 - CAMISA GRADIL.jpg,REF 53 - CAMISA GRADIL.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_53/index.html,qr_54.png,link_pix,link_mp,data_hora_venda,tipo_transacao
54,PENAS TROPICAIS,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 54 - PENAS TROPICAIS.jpg,REF 54 - PENAS TROPICAIS.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_54/index.html,qr_55.png,link_pix,link_mp,data_hora_venda,tipo_transacao
55,JEEP,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 55-CAMISA JEEP.jpg,REF 55-CAMISA JEEP.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_55/index.html,qr_56.png,link_pix,link_mp,data_hora_venda,tipo_transacao
56,PORTAS JANELAS 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 56 - CAMISA PORTAS E JANELAS 2.jpg,REF 56 - CAMISA PORTAS E JANELAS 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_56/index.html,qr_57.png,link_pix,link_mp,data_hora_venda,tipo_transacao
57,BIKE 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 57-CAMISA BIKE 1.jpg,REF 57-CAMISA BIKE 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_57/index.html,qr_58.png,link_pix,link_mp,data_hora_venda,tipo_transacao
58,BIKE 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 58 CAMISA BIKE 2.jpg,REF 58 CAMISA BIKE 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_58/index.html,qr_59.png,link_pix,link_mp,data_hora_venda,tipo_transacao
59,LAMBRETTA,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 59-CAMISA LAMBRETTA.jpg,REF 59-CAMISA LAMBRETTA.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_59/index.html,qr_60.png,link_pix,link_mp,data_hora_venda,tipo_transacao
60,CHEVROLET,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 60 - CAMISA CHEVROLET.jpg,REF 60 - CAMISA CHEVROLET.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_60/index.html,qr_61.png,link_pix,link_mp,data_hora_venda,tipo_transacao
61,KOMBI 3,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 61 - CAMISA KOMBI 3.jpg,REF 61 - CAMISA KOMBI 3.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_61/index.html,qr_62.png,link_pix,link_mp,data_hora_venda,tipo_transacao
62,GORDINI,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS,REF 62 - CAMISA GORDINI.jpg,REF 62 - CAMISA GORDINI.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_62/index.html,qr_63.png,link_pix,link_mp,data_hora_venda,tipo_transacao
