ITEM,TELAS,TÉCNICA,DIMENSÃO ,ANO,VALOR (R$),VALOR_PIX,PARCELAMENTO,CATEGORIA
39,MERGULHO 6,TINTA LÍQUIDA SOBRE PAPEL," 29,7 X 21",2025,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS
40,MERGULHO 7,TINTA LÍQUIDA SOBRE PAPEL,"29,7 x 42",2021,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,DESENHOS / AQUARELAS
41,BIKE 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE
42,CAPOEIRA 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE
43,CAPOEIRA 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE
44,DANÇA 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE
45,DANÇA 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE
46,DANÇA 3,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE
47,MÚSICO 1,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE
48,MÚSICO 2,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE
49,4 CADEIRAS,FIO DE COBRE DESENCAPADO,BASE MADEIRA  10X20,2025,"  250,00 ","  237,50 ",5% À VISTA/ 2 VEZES,DOBRADURAS FIO DE COBRE
50,KOMBI 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
51,KOMBI 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
52,PORTAS JANELAS 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
53,GRADIL SÉC. XIX,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
54,PENAS TROPICAIS,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
55,JEEP,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
56,PORTAS JANELAS 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
57,BIKE 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
58,BIKE 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
59,LAMBRETTA,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
60,CHEVROLET,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
61,KOMBI 3,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
62,GORDINI,ACRÍLICA SOBRE TECIDO,P/M/G,2025,"  150,00 ","  142,50 ","2 =2 50,00 / 3 = 400,00",CAMISAS
